generation;idx;fitness;param0;param1;param2;param3;param4;param5;param6;param7;param8;param9
5;5;2.951417004048583;-d;-rrt;;;;;;-rsd;-r;10
5;6;2.951417004048583;-d;-rrt;;;;;;-rsd;-r;10
5;7;2.951417004048583;-d;-rrt;;;;;;;;
5;8;2.951417004048583;-d;-rrt;-ct;-cta;0.0;-ctb;1;;;
5;9;2.951417004048583;-d;-rrt;-ct;-cta;1.0;-ctb;1;-rsd;-r;1
5;10;2.951417004048583;-d;-rrt;;;;;;;;
5;11;2.951417004048583;-d;-rrt;;;;;;;;
5;12;2.951417004048583;-d;-rrt;;;;;;;;
5;13;2.9634146341463414;-d;;-ct;-cta;0.33;-ctb;1;;;
5;14;2.9634146341463414;-d;;-ct;-cta;0.33;-ctb;1;-rsd;-r;10
5;15;2.9634146341463414;-d;;-ct;-cta;0.33;-ctb;1;;;
5;16;2.975510204081633;-d;-rrt;-ct;-cta;0.33;-ctb;1;-rsd;-r;10
5;17;2.975510204081633;-d;-rrt;-ct;-cta;0.33;-ctb;1;;;
5;18;2.975510204081633;-d;-rrt;-ct;-cta;0.33;-ctb;1;;;
5;19;2.975510204081633;-d;-rrt;-ct;-cta;0.33;-ctb;1;;;
5;20;2.904382470119522;-d;-rrt;-ct;-cta;0.33;-ctb;1;-rsd;-r;1
5;21;1.8984375;-d;;-ct;-cta;0.33;-ctb;10;-rsd;-r;5
5;22;2.4139072847682117;-d;-rrt;;;;;;-rsd;-r;1
5;23;2.951417004048583;-d;-rrt;;;;;;;;
5;24;2.951417004048583;-d;-rrt;-ct;-cta;0.0;-ctb;1;-rsd;-r;10
5;25;1.9133858267716535;-d;-rrt;-ct;-cta;0.33;-ctb;10;-rsd;-r;10
5;26;2.150442477876106;-d;;;;;;;-rsd;-r;1
5;27;2.4139072847682117;-d;-rrt;;;;;;-rsd;-r;1
5;28;2.951417004048583;-d;-rrt;-ct;-cta;0.0;-ctb;1;-rsd;-r;10
5;29;2.975510204081633;-d;-rrt;-ct;-cta;0.33;-ctb;1;;;
5;30;2.951417004048583;-d;-rrt;;;;;;;;
5;31;2.7613636363636362;-d;-rrt;-ct;-cta;0.33;-ctb;3;;;
5;32;2.5489510489510487;;-rrt;-ct;-cta;0.0;-ctb;1;;;
5;33;2.904382470119522;-d;-rrt;-ct;-cta;0.0;-ctb;3;;;
5;34;2.904382470119522;-d;;;;;;;;;
5;35;2.951417004048583;-d;-rrt;;;;;;;;
5;36;2.150442477876106;-d;;;;;;;-rsd;-r;1
5;37;2.951417004048583;-d;-rrt;-ct;-cta;0.0;-ctb;1;;;
5;38;2.5489510489510487;;;-ct;-cta;0.33;-ctb;1;;;
5;39;2.87007874015748;-d;;-ct;-cta;1.0;-ctb;1;;;
5;40;2.904382470119522;-d;;;;;;;;;
5;41;2.951417004048583;-d;-rrt;;;;;;;;
5;42;2.951417004048583;-d;-rrt;-ct;-cta;0.33;-ctb;1;-rsd;-r;5
5;43;2.904382470119522;-d;-rrt;-ct;-cta;0.33;-ctb;1;-rsd;-r;1
5;44;2.904382470119522;-d;;-ct;-cta;0.0;-ctb;1;;;
5;45;2.975510204081633;-d;-rrt;-ct;-cta;0.33;-ctb;1;;;
5;46;2.87007874015748;-d;;-ct;-cta;1.0;-ctb;1;;;
5;47;2.904382470119522;-d;-rrt;-ct;-cta;0.0;-ctb;3;;;
5;48;2.951417004048583;-d;-rrt;;;;;;;;
5;49;2.951417004048583;-d;-rrt;;;;;;;;
6;0;2.951417004048583;-d;-rrt;;;;;;;;
6;1;2.951417004048583;-d;-rrt;;;;;;;;
6;2;2.951417004048583;-d;-rrt;-ct;-cta;0.0;-ctb;1;-rsd;-r;10
6;3;2.951417004048583;-d;-rrt;-ct;-cta;0.0;-ctb;1;-rsd;-r;10
6;4;2.951417004048583;-d;-rrt;;;;;;;;
6;5;2.951417004048583;-d;-rrt;;;;;;;;
6;6;2.951417004048583;-d;-rrt;-ct;-cta;0.0;-ctb;1;;;
6;7;2.951417004048583;-d;-rrt;;;;;;;;
6;8;2.951417004048583;-d;-rrt;-ct;-cta;0.33;-ctb;1;-rsd;-r;5
6;9;2.951417004048583;-d;-rrt;;;;;;;;
6;10;2.951417004048583;-d;-rrt;;;;;;;;
6;11;2.9634146341463414;-d;;-ct;-cta;0.33;-ctb;1;;;
6;12;2.9634146341463414;-d;;-ct;-cta;0.33;-ctb;1;-rsd;-r;10
6;13;2.9634146341463414;-d;;-ct;-cta;0.33;-ctb;1;;;
6;14;2.975510204081633;-d;-rrt;-ct;-cta;0.33;-ctb;1;-rsd;-r;10
6;15;2.975510204081633;-d;-rrt;-ct;-cta;0.33;-ctb;1;;;
6;16;2.975510204081633;-d;-rrt;-ct;-cta;0.33;-ctb;1;;;
6;17;2.975510204081633;-d;-rrt;-ct;-cta;0.33;-ctb;1;;;
6;18;2.975510204081633;-d;-rrt;-ct;-cta;0.33;-ctb;1;;;
6;19;2.975510204081633;-d;-rrt;-ct;-cta;0.33;-ctb;1;;;
6;20;2.951417004048583;-d;-rrt;;;;;;-rsd;-r;10
6;21;2.8814229249011856;-d;;;;;;;-rsd;-r;10
6;22;2.892857142857143;-d;-rrt;-ct;-cta;0.67;-ctb;1;;;
6;23;2.951417004048583;-d;-rrt;;;;;;;;
6;24;2.5759717314487633;;-rrt;-ct;-cta;0.33;-ctb;1;;;
6;25;1.9133858267716535;-d;-rrt;-ct;-cta;0.33;-ctb;10;-rsd;-r;10
6;26;2.87007874015748;-d;;-ct;-cta;1.0;-ctb;1;;;
6;27;2.951417004048583;-d;-rrt;-ct;-cta;0.0;-ctb;1;;;
6;28;2.975510204081633;-d;-rrt;-ct;-cta;0.33;-ctb;1;;;
6;29;2.951417004048583;-d;-rrt;-ct;-cta;0.0;-ctb;1;;;
6;30;1.6164079822616408;;-rrt;-ct;-cta;0.33;-ctb;10;;;
6;31;1.8984375;-d;;-ct;-cta;0.33;-ctb;10;;;
6;32;2.4139072847682117;-d;-rrt;-ct;-cta;0.0;-ctb;1;-rsd;-r;1
6;33;2.939516129032258;-d;-rrt;-ct;-cta;1.0;-ctb;1;;;
6;34;2.975510204081633;-d;-rrt;-ct;-cta;0.33;-ctb;1;-rsd;-r;10
6;35;1.668192219679634;-d;-rrt;-ct;-cta;0.67;-ctb;10;-rsd;-r;5
6;36;2.8814229249011856;-d;;;;;;;-rsd;-r;10
6;37;2.951417004048583;-d;-rrt;;;;;;-rsd;-r;10
6;38;2.904382470119522;-d;;;;;;;;;
6;39;2.904382470119522;-d;;;;;;;;;
6;40;2.951417004048583;-d;-rrt;-ct;-cta;0.33;-ctb;1;-rsd;-r;5
6;41;2.951417004048583;-d;-rrt;-ct;-cta;0.0;-ctb;1;;;
6;42;2.53125;;-rrt;-ct;-cta;0.67;-ctb;1;;;
6;43;1.9133858267716535;-d;-rrt;-ct;-cta;0.33;-ctb;10;;;
6;44;2.793103448275862;-d;;-ct;-cta;0.33;-ctb;3;;;
6;45;2.892857142857143;-d;-rrt;-ct;-cta;0.67;-ctb;1;;;
6;46;1.8984375;-d;;-ct;-cta;0.33;-ctb;10;;;
6;47;2.904382470119522;-d;;;;;;;;;
6;48;2.5759717314487633;;-rrt;-ct;-cta;0.33;-ctb;1;-rsd;-r;10
6;49;1.9133858267716535;-d;-rrt;-ct;-cta;0.33;-ctb;10;-rsd;-r;10
7;0;2.951417004048583;-d;-rrt;;;;;;;;
7;1;2.951417004048583;-d;-rrt;;;;;;;;
7;2;2.951417004048583;-d;-rrt;;;;;;-rsd;-r;10
7;3;2.951417004048583;-d;-rrt;;;;;;;;
7;4;2.951417004048583;-d;-rrt;-ct;-cta;0.0;-ctb;1;;;
7;5;2.951417004048583;-d;-rrt;-ct;-cta;0.0;-ctb;1;;;
7;6;2.951417004048583;-d;-rrt;;;;;;-rsd;-r;10
7;7;2.951417004048583;-d;-rrt;-ct;-cta;0.33;-ctb;1;-rsd;-r;5
7;8;2.951417004048583;-d;-rrt;-ct;-cta;0.0;-ctb;1;;;
7;9;2.9634146341463414;-d;;-ct;-cta;0.33;-ctb;1;;;
7;10;2.9634146341463414;-d;;-ct;-cta;0.33;-ctb;1;-rsd;-r;10
7;11;2.9634146341463414;-d;;-ct;-cta;0.33;-ctb;1;;;
7;12;2.975510204081633;-d;-rrt;-ct;-cta;0.33;-ctb;1;-rsd;-r;10
7;13;2.975510204081633;-d;-rrt;-ct;-cta;0.33;-ctb;1;;;
7;14;2.975510204081633;-d;-rrt;-ct;-cta;0.33;-ctb;1;;;
7;15;2.975510204081633;-d;-rrt;-ct;-cta;0.33;-ctb;1;;;
7;16;2.975510204081633;-d;-rrt;-ct;-cta;0.33;-ctb;1;;;
7;17;2.975510204081633;-d;-rrt;-ct;-cta;0.33;-ctb;1;;;
7;18;2.975510204081633;-d;-rrt;-ct;-cta;0.33;-ctb;1;;;
7;19;2.975510204081633;-d;-rrt;-ct;-cta;0.33;-ctb;1;-rsd;-r;10
7;20;2.9634146341463414;-d;;-ct;-cta;0.33;-ctb;1;-rsd;-r;5
7;21;2.793103448275862;-d;;-ct;-cta;0.33;-ctb;3;;;
7;22;2.904382470119522;-d;;;;;;;;;
7;23;2.4139072847682117;-d;-rrt;;;;;;-rsd;-r;1
7;24;2.951417004048583;-d;-rrt;;;;;;;;
7;25;2.951417004048583;-d;-rrt;;;;;;-rsd;-r;10
7;26;2.951417004048583;-d;-rrt;;;;;;;;
7;27;2.951417004048583;-d;-rrt;-ct;-cta;0.33;-ctb;1;-rsd;-r;5
7;28;1.5543710021321961;-d;-rrt;-ct;-cta;1.0;-ctb;10;;;
7;29;2.5051546391752577;;-rrt;;;;;;-rsd;-r;10
7;30;1.9133858267716535;-d;-rrt;-ct;-cta;0.33;-ctb;10;;;
7;31;2.975510204081633;-d;-rrt;-ct;-cta;0.33;-ctb;1;;;
7;32;2.9634146341463414;-d;;-ct;-cta;0.33;-ctb;1;;;
7;33;2.9634146341463414;-d;;-ct;-cta;0.33;-ctb;1;;;
7;34;2.951417004048583;-d;-rrt;;;;;;-rsd;-r;10
7;35;2.951417004048583;-d;-rrt;;;;;;-rsd;-r;10
7;36;2.892857142857143;-d;-rrt;-ct;-cta;0.67;-ctb;1;;;
7;37;2.5489510489510487;;-rrt;-ct;-cta;0.0;-ctb;1;;;
7;38;2.951417004048583;-d;-rrt;;;;;;;;
7;39;2.939516129032258;-d;-rrt;-ct;-cta;1.0;-ctb;1;;;
7;40;2.8588235294117648;-d;;-ct;-cta;0.67;-ctb;1;-rsd;-r;1
7;41;2.904382470119522;-d;;;;;;;;;
7;42;2.5759717314487633;;-rrt;-ct;-cta;0.33;-ctb;1;;;
7;43;1.9133858267716535;-d;-rrt;-ct;-cta;0.33;-ctb;10;;;
7;44;2.5051546391752577;;-rrt;;;;;;-rsd;-r;10
7;45;2.892857142857143;-d;-rrt;-ct;-cta;0.67;-ctb;1;;;
7;46;2.7613636363636362;-d;-rrt;-ct;-cta;0.33;-ctb;3;;;
7;47;2.904382470119522;-d;;;;;;;;;
7;48;2.5759717314487633;;-rrt;-ct;-cta;0.33;-ctb;1;-rsd;-r;10
7;49;2.87007874015748;-d;;-ct;-cta;1.0;-ctb;1;;;
8;0;2.951417004048583;-d;-rrt;;;;;;;;
8;1;2.951417004048583;-d;-rrt;-ct;-cta;0.33;-ctb;1;-rsd;-r;5
8;2;2.951417004048583;-d;-rrt;;;;;;-rsd;-r;10
8;3;2.951417004048583;-d;-rrt;;;;;;-rsd;-r;10
