timed;gen;idx;min;sec
chrom;8;33;00;9.278
chrom;8;34;00;3.457
chrom;8;35;00;7.904
chrom;8;36;00;7.138
chrom;8;37;00;12.047
chrom;8;38;00;9.533
chrom;8;39;00;2.265
chrom;8;40;00;2.281
chrom;8;41;00;8.967
chrom;8;42;00;7.489
chrom;8;43;00;7.264
chrom;8;44;00;7.826
chrom;8;45;00;3.327
chrom;8;46;00;2.718
chrom;8;47;00;7.436
chrom;8;48;00;12.813
chrom;8;49;00;3.687
gen;8;;10;40.412
chrom;9;0;00;7.472
chrom;9;1;00;3.031
chrom;9;2;00;7.139
chrom;9;3;00;3.077
chrom;9;4;00;6.561
chrom;9;5;00;2.984
chrom;9;6;00;3.046
chrom;9;7;00;6.639
chrom;9;8;00;3.140
chrom;9;9;00;7.405
chrom;9;10;00;3.374
chrom;9;11;00;3.232
chrom;9;12;00;3.468
chrom;9;13;00;3.249
chrom;9;14;00;3.249
chrom;9;15;00;3.312
chrom;9;16;00;8.380
chrom;9;17;00;3.405
chrom;9;18;00;3.234
chrom;9;19;00;3.327
chrom;9;20;00;3.062
chrom;9;21;00;2.265
chrom;9;22;00;3.062
chrom;9;23;00;7.779
chrom;9;24;00;3.983
chrom;9;25;00;6.030
chrom;9;26;00;6.170
chrom;9;27;00;2.843
chrom;9;28;00;2.874
chrom;9;29;00;6.280
chrom;9;30;00;7.873
chrom;9;31;00;7.623
chrom;9;32;00;7.498
chrom;9;33;00;7.764
chrom;9;34;00;3.265
chrom;9;35;00;6.780
chrom;9;36;00;2.640
chrom;9;37;00;4.405
chrom;9;38;00;9.701
chrom;9;39;00;7.233
chrom;9;40;00;6.077
chrom;9;41;00;3.640
chrom;9;42;00;10.169
chrom;9;43;00;3.952
chrom;9;44;00;3.705
chrom;9;45;00;4.186
chrom;9;46;00;13.762
chrom;9;47;00;7.998
chrom;9;48;00;1.500
chrom;9;49;00;7.670
gen;9;;04;20.733
chrom;10;0;00;7.170
chrom;10;1;00;3.780
chrom;10;2;00;3.812
chrom;10;3;00;7.405
chrom;10;4;00;3.702
chrom;10;5;00;3.718
chrom;10;6;00;3.796
chrom;10;7;00;8.092
chrom;10;8;00;3.968
chrom;10;9;00;3.945
chrom;10;10;00;4.205
chrom;10;11;00;4.186
chrom;10;12;00;4.108
chrom;10;13;00;4.171
chrom;10;14;00;8.154
chrom;10;15;00;4.077
chrom;10;16;00;3.983
chrom;10;17;00;4.171
