timed;gen;idx;min;sec
chrom;14;30;00;0.609
chrom;14;31;00;0.487
chrom;14;32;00;0.585
chrom;14;33;00;0.617
chrom;14;34;00;0.598
chrom;14;35;00;0.509
chrom;14;36;00;0.592
chrom;14;37;00;0.560
chrom;14;38;00;0.592
chrom;14;39;00;0.551
gen;14;;00;22.810
chrom;15;0;00;0.606
chrom;15;1;00;0.596
chrom;15;2;00;0.573
chrom;15;3;00;0.555
chrom;15;4;00;0.626
chrom;15;5;00;0.643
chrom;15;6;00;0.611
chrom;15;7;00;0.680
chrom;15;8;00;0.641
chrom;15;9;00;0.552
chrom;15;10;00;0.555
chrom;15;11;00;0.463
chrom;15;12;00;0.502
chrom;15;13;00;0.575
chrom;15;14;00;0.505
chrom;15;15;00;0.496
chrom;15;16;00;0.567
chrom;15;17;00;0.534
chrom;15;18;00;0.522
chrom;15;19;00;0.416
chrom;15;20;00;0.595
chrom;15;21;00;0.550
chrom;15;22;00;0.552
chrom;15;23;00;0.510
chrom;15;24;00;0.541
chrom;15;25;00;0.571
chrom;15;26;00;0.553
chrom;15;27;00;0.573
chrom;15;28;00;0.558
chrom;15;29;00;0.544
chrom;15;30;00;0.553
chrom;15;31;00;0.542
chrom;15;32;00;0.641
chrom;15;33;00;0.618
chrom;15;34;00;0.586
chrom;15;35;00;0.580
chrom;15;36;00;0.541
chrom;15;37;00;0.612
chrom;15;38;00;0.571
chrom;15;39;00;0.632
gen;15;;00;22.823
chrom;16;0;00;0.664
chrom;16;1;00;0.622
chrom;16;2;00;0.633
chrom;16;3;00;0.617
chrom;16;4;00;0.608
chrom;16;5;00;0.641
chrom;16;6;00;0.634
chrom;16;7;00;0.639
chrom;16;8;00;0.564
chrom;16;9;00;0.547
chrom;16;10;00;0.630
chrom;16;11;00;0.548
chrom;16;12;00;0.536
chrom;16;13;00;0.513
chrom;16;14;00;0.573
chrom;16;15;00;0.519
chrom;16;16;00;0.602
chrom;16;17;00;0.544
chrom;16;18;00;0.606
chrom;16;19;00;0.533
chrom;16;20;00;0.500
chrom;16;21;00;0.586
chrom;16;22;00;0.640
chrom;16;23;00;0.436
chrom;16;24;00;0.582
chrom;16;25;00;0.563
chrom;16;26;00;0.550
chrom;16;27;00;0.552
chrom;16;28;00;0.613
chrom;16;29;00;0.575
chrom;16;30;00;0.540
