generation;idx;fitness;param0;param1;param2;param3;param4;param5;param6;param7;param8;param9;param10;param11;param12;param13;param14;param15;param16;param17;param18;param19;param20
2;46;1.2098765432098766;-d;-rrt;;;;;;;;;-crlow;0.2;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;5;
2;47;0.875;-d;;;;;;;;;;-crlow;0.6;-crhi;1.0;-comlow;0.9;-comhi;1.0;-cmin;0;-bbcomp
2;48;1.225;;;;;;;;-rsd;-r;10;-crlow;0.2;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;30;
2;49;1.0;-d;;;;;;;;;;-crlow;0.9;-crhi;1.0;-comlow;0.9;-comhi;1.0;-cmin;15;
2;50;1.0;-d;-rrt;-ct;-cta;1.0;-ctb;1;;;;-crlow;0.2;-crhi;1.0;-comlow;0.9;-comhi;1.0;-cmin;5;
2;51;1.3243243243243243;-d;;;;;;;-rsd;-r;1;-crlow;0.2;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;5;-bbcomp
2;52;1.101123595505618;-d;-rrt;;;;;;-rsd;-r;5;-crlow;0.6;-crhi;1.0;-comlow;0.9;-comhi;1.0;-cmin;0;-bbcomp
2;53;1.240506329113924;;;;;;;;-rsd;-r;10;-crlow;0.6;-crhi;1.0;-comlow;0.9;-comhi;1.0;-cmin;0;
2;54;1.1951219512195121;;;-ct;-cta;0.0;-ctb;3;-rsd;-r;10;-crlow;0.6;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;5;
2;55;1.225;;;-ct;-cta;0.0;-ctb;3;-rsd;-r;10;-crlow;0.2;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;5;
2;56;0.8448275862068966;-d;-rrt;;;;;;-rsd;-r;5;-crlow;0.2;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;0;-bbcomp
2;57;1.225;-d;;-ct;-cta;0.67;-ctb;3;;;;-crlow;0.2;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;5;-bbcomp
2;58;1.180722891566265;-d;;-ct;-cta;0.67;-ctb;1;;;;-crlow;0.2;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;15;
2;59;1.101123595505618;-d;-rrt;;;;;;-rsd;-r;1;-crlow;0.6;-crhi;1.0;-comlow;0.9;-comhi;1.0;-cmin;0;-bbcomp
2;60;1.0;;;-ct;-cta;0.33;-ctb;10;;;;-crlow;0.6;-crhi;1.0;-comlow;0.9;-comhi;1.0;-cmin;5;
