timed;gen;idx;min;sec
chrom;15;19;00;0.000
chrom;15;20;00;0.000
chrom;15;21;00;0.580
chrom;15;22;00;0.000
chrom;15;23;00;0.000
chrom;15;24;00;0.000
chrom;15;25;00;0.000
chrom;15;26;00;0.000
chrom;15;27;00;0.000
chrom;15;28;00;0.000
chrom;15;29;00;0.000
chrom;15;30;00;0.000
chrom;15;31;00;0.598
chrom;15;32;00;0.000
chrom;15;33;00;0.000
chrom;15;34;00;0.004
chrom;15;35;00;0.000
chrom;15;36;00;0.000
chrom;15;37;00;0.000
chrom;15;38;00;0.000
chrom;15;39;00;0.000
gen;15;;00;1.618
chrom;16;0;00;0.000
chrom;16;1;00;0.001
chrom;16;2;00;0.001
chrom;16;3;00;0.000
chrom;16;4;00;0.000
chrom;16;5;00;0.000
chrom;16;6;00;0.001
chrom;16;7;00;0.000
chrom;16;8;00;0.000
chrom;16;9;00;0.000
chrom;16;10;00;0.000
chrom;16;11;00;0.000
chrom;16;12;00;0.000
chrom;16;13;00;0.000
chrom;16;14;00;0.000
chrom;16;15;00;0.000
chrom;16;16;00;0.000
chrom;16;17;00;0.000
chrom;16;18;00;0.000
chrom;16;19;00;0.000
chrom;16;20;00;0.001
chrom;16;21;00;0.000
chrom;16;22;00;0.000
chrom;16;23;00;0.000
chrom;16;24;00;0.000
chrom;16;25;00;0.000
chrom;16;26;00;0.000
chrom;16;27;00;0.000
chrom;16;28;00;0.000
chrom;16;29;00;0.000
chrom;16;30;00;0.000
chrom;16;31;00;0.000
chrom;16;32;00;0.005
chrom;16;33;00;0.000
chrom;16;34;00;0.000
chrom;16;35;00;0.571
chrom;16;36;00;0.627
chrom;16;37;00;0.000
chrom;16;38;00;0.610
chrom;16;39;00;0.000
gen;16;;00;2.291
chrom;17;0;00;0.000
chrom;17;1;00;0.000
chrom;17;2;00;0.000
chrom;17;3;00;0.000
chrom;17;4;00;0.000
chrom;17;5;00;0.001
chrom;17;6;00;0.000
chrom;17;7;00;0.000
chrom;17;8;00;0.000
chrom;17;9;00;0.000
chrom;17;10;00;0.000
chrom;17;11;00;0.000
chrom;17;12;00;0.000
chrom;17;13;00;0.000
chrom;17;14;00;0.000
chrom;17;15;00;0.000
chrom;17;16;00;0.000
chrom;17;17;00;0.000
chrom;17;18;00;0.000
chrom;17;19;00;0.000
chrom;17;20;00;0.000
chrom;17;21;00;0.583
chrom;17;22;00;0.000
chrom;17;23;00;0.000
chrom;17;24;00;0.000
chrom;17;25;00;0.000
chrom;17;26;00;0.000
chrom;17;27;00;0.000
chrom;17;28;00;0.000
chrom;17;29;00;0.000
chrom;17;30;00;0.000
chrom;17;31;00;0.004
chrom;17;32;00;0.000
chrom;17;33;00;0.000
chrom;17;34;00;0.000
chrom;17;35;00;0.000
chrom;17;36;00;0.000
chrom;17;37;00;0.000
chrom;17;38;00;0.000
chrom;17;39;00;0.000
gen;17;;00;1.093
chrom;18;0;00;0.000
chrom;18;1;00;0.000
chrom;18;2;00;0.000
chrom;18;3;00;0.000
chrom;18;4;00;0.000
chrom;18;5;00;0.000
chrom;18;6;00;0.000
chrom;18;7;00;0.000
chrom;18;8;00;0.000
chrom;18;9;00;0.000
chrom;18;10;00;0.002
chrom;18;11;00;0.001
chrom;18;12;00;0.000
chrom;18;13;00;0.000
chrom;18;14;00;0.000
chrom;18;15;00;0.000
chrom;18;16;00;0.000
chrom;18;17;00;0.000
chrom;18;18;00;0.000
chrom;18;19;00;0.000
chrom;18;20;00;0.000
chrom;18;21;00;0.000
chrom;18;22;00;0.000
chrom;18;23;00;0.000
chrom;18;24;00;0.004
chrom;18;25;00;0.000
chrom;18;26;00;0.000
chrom;18;27;00;0.598
chrom;18;28;00;0.000
chrom;18;29;00;0.000
chrom;18;30;00;0.000
chrom;18;31;00;0.000
chrom;18;32;00;0.000
chrom;18;33;00;0.000
chrom;18;34;00;0.000
chrom;18;35;00;0.000
chrom;18;36;00;0.000
chrom;18;37;00;0.000
chrom;18;38;00;0.000
chrom;18;39;00;0.000
gen;18;;00;1.067
chrom;19;0;00;0.000
chrom;19;1;00;0.000
chrom;19;2;00;0.000
chrom;19;3;00;0.000
chrom;19;4;00;0.000
chrom;19;5;00;0.000
chrom;19;6;00;0.000
chrom;19;7;00;0.000
chrom;19;8;00;0.000
chrom;19;9;00;0.000
chrom;19;10;00;0.000
chrom;19;11;00;0.000
chrom;19;12;00;0.001
chrom;19;13;00;0.000
chrom;19;14;00;0.000
chrom;19;15;00;0.000
chrom;19;16;00;0.000
chrom;19;17;00;0.000
chrom;19;18;00;0.579
chrom;19;19;00;0.001
chrom;19;20;00;0.713
chrom;19;21;00;0.000
chrom;19;22;00;0.000
chrom;19;23;00;0.000
chrom;19;24;00;0.000
chrom;19;25;00;0.000
chrom;19;26;00;0.000
chrom;19;27;00;0.000
chrom;19;28;00;0.000
chrom;19;29;00;0.000
chrom;19;30;00;0.000
chrom;19;31;00;0.000
chrom;19;32;00;0.001
chrom;19;33;00;0.000
chrom;19;34;00;0.000
chrom;19;35;00;0.000
chrom;19;36;00;0.000
chrom;19;37;00;0.000
chrom;19;38;00;0.000
chrom;19;39;00;0.000
gen;19;;00;1.814
chrom;20;0;00;0.000
chrom;20;1;00;0.000
chrom;20;2;00;0.000
chrom;20;3;00;0.000
chrom;20;4;00;0.000
chrom;20;5;00;0.000
chrom;20;6;00;0.000
chrom;20;7;00;0.000
chrom;20;8;00;0.000
chrom;20;9;00;0.000
chrom;20;10;00;0.000
chrom;20;11;00;0.000
chrom;20;12;00;0.000
chrom;20;13;00;0.000
chrom;20;14;00;0.000
chrom;20;15;00;0.000
chrom;20;16;00;0.000
chrom;20;17;00;0.000
chrom;20;18;00;0.000
chrom;20;19;00;0.000
chrom;20;20;00;0.000
chrom;20;21;00;0.000
chrom;20;22;00;0.000
chrom;20;23;00;0.000
chrom;20;24;00;0.000
chrom;20;25;00;0.000
